,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
42,248059,A2B2X11,(MoO2)2P2O7,0.0778,62,orthorhombic,P,60.0,60.0,60.0,60.0,badcount_n,po_n,undet_n,ct_n,423,noPress,oP60,d2_c11,i,3,Mo2_O11_P2,3,Mo+6,O-2,P+5,,,,
43,30892,ABX3,(NH4)PO3,0.040999999999999995,64,orthorhombic,C,48.0,96.0,96.0,96.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,oS96,g2_f4_e_d,i,4,H1_K1_O3_Si1,4,H+1,K+1,O-2,Si+4,,,
44,16615,A2B3X14,(NO2)2S3O10,0.14300000000000002,9,monoclinic,C,38.0,76.0,76.0,76.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mS76,a19,i,3,N2_O14_S3,3,N+5,O-2,S+6,,,,
45,421356,AB3C4X12,"(Na,K)NbO3",0.049,6,monoclinic,P,40.0,40.0,40.0,40.0,badcount_n,po_n,undet_n,ct_n,153,noPress,mP40,c12_b8_a8,i,4,Cu3_La4_Mo1_O12,4,Cu+2,La+3,Mo+6,O-2,,,
46,246090,ABC2X6,"(Nd,Ca)MnO3",0.053,11,monoclinic,P,20.0,20.0,20.0,20.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mP20,f2_e4_c_b,i,4,Ca2_Mn1_O6_Sb1,4,Ca+2,Mn+3,O-2,Sb+5,,,
47,246091,ABC2X6,"(Nd,Ca)MnO3",0.038,11,monoclinic,P,20.0,20.0,20.0,20.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mP20,f2_e4_c_b,i,4,Ca2_Mn1_O6_Ta1,4,Ca+2,Mn+3,O-2,Ta+5,,,
48,237350,ABX3,"(Nd,Ca)MnO3",0.0414,11,monoclinic,P,20.0,20.0,20.0,20.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mP20,f2_e4_c_b,i,3,O3_Rh1_Sc1,3,O-2,Rh+3,Sc+3,,,,
49,84850,AB4X8,(PbO)3PbSO4H2O,0.032,2,triclinic,P,30.0,30.0,30.0,30.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,aP30,i13,i,4,H2_O8_Pb4_S1,4,H+1,O-2,Pb+2,S+6,,,
50,56325,A19N2O2P3X19,(Re(CO)5)2Sn2Fe3(CO)9,0.03,14,monoclinic,P,180.0,180.0,180.0,180.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mP180,e45,0,5,C19_Fe3_Mn2_O19_Sn2,5,C+2,Fe+0,Mn+0,O-2,Sn+0,,
51,65211,A19N2O2P3X19,(Re(CO)5)2Sn2Fe3(CO)9,0.055,14,monoclinic,P,180.0,180.0,180.0,180.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mP180,e45,0,5,C19_Fe3_O19_Re2_Sn2,5,C+2,Fe+0,O-2,Re+0,Sn+0,,
