Compounds,Group,m,kai,EA,IE1,Rvdw,Rcov
Ga2La4O9,12.13333,55.936,2.598667,1.050006,10.45791,1.809333,1.065333
Ga3La1O6,13.8,44.406,2.717,1.016673,10.52831,1.716,0.947
Ga1La1O3,12.8,51.324,2.646,1.036673,10.48607,1.772,1.018
Ga4La2O9,13.46667,46.712,2.693333,1.02334,10.51423,1.734667,0.970667
Ga5La1O9,14.13333,42.1,2.740667,1.010006,10.54239,1.697333,0.923333
La2O4Sr1,10.28571,61.34571,2.415714,0.977784,10.18869,1.918571,1.191429
La4O7Sr1,10.5,62.935,2.4525,1.018988,10.2774,1.904167,1.178333
La6O10Sr1,10.58824,63.58941,2.467647,1.035954,10.31393,1.898235,1.172941
La2O5Sr2,10,59.22667,2.366667,0.922845,10.07042,1.937778,1.208889
La2O4Sr1,10.28571,61.34571,2.415714,0.977784,10.18869,1.918571,1.191429
La2O6Sr3,9.818182,57.87818,2.335455,0.887884,9.99515,1.95,1.22
La4O9Sr3,10.125,60.15375,2.388125,0.946881,10.12216,1.929375,1.20125
La2O7Sr4,9.692308,56.94462,2.313846,0.863681,9.943042,1.958462,1.227692
La2O5Sr2,10,59.22667,2.366667,0.922845,10.07042,1.937778,1.208889
La2O8Sr5,9.6,56.26,2.298,0.845931,9.90483,1.964667,1.233333
La2O9Sr6,9.529412,55.73647,2.285882,0.832358,9.875609,1.969412,1.237647
La2O10Sr7,9.473684,55.32316,2.276316,0.821643,9.852539,1.973158,1.241053
In1La1O3,12.8,60.34,2.64,1.036673,10.44348,1.784,1.056
In1La3O6,11.8,62.75,2.572,1.056673,10.42254,1.834,1.108
In1La5O9,11.46667,63.55333,2.549333,1.06334,10.41555,1.850667,1.125333
In1La1O3,12.8,60.34,2.64,1.036673,10.44348,1.784,1.056
In2La4O9,12.13333,61.94667,2.594667,1.050006,10.42952,1.817333,1.090667
In3La1O6,13.8,57.93,2.708,1.016673,10.46443,1.734,1.004
In1La1O3,12.8,60.34,2.64,1.036673,10.44348,1.784,1.056
In4La2O9,13.46667,58.73333,2.685333,1.02334,10.45745,1.750667,1.021333
In5La1O9,14.13333,57.12667,2.730667,1.010006,10.47141,1.717333,0.986667
La1O3Sb1,13.2,61.74,2.694,1.190673,11.00789,1.81,1.052
La3O6Sb1,12,63.45,2.599,1.133673,10.70474,1.847,1.106
La5O9Sb1,11.6,64.02,2.567333,1.114673,10.60369,1.859333,1.124
La1O3Sb1,13.2,61.74,2.694,1.190673,11.00789,1.81,1.052
La4O9Sb2,12.4,62.88,2.630667,1.152673,10.80579,1.834667,1.088
La1O6Sb3,14.4,60.03,2.789,1.247673,11.31104,1.773,0.998
La1O3Sb1,13.2,61.74,2.694,1.190673,11.00789,1.81,1.052
La2O9Sb4,14,60.6,2.757333,1.228673,11.20999,1.785333,1.016
La1O9Sb5,14.8,59.46,2.820667,1.266673,11.41209,1.760667,0.98
Bi1La1O3,13.2,79.176,2.664,1.165873,10.74331,1.812,1.072
Bi1La3O6,12,72.168,2.584,1.121273,10.57245,1.848,1.116
Bi1La5O9,11.6,69.832,2.557333,1.106406,10.5155,1.86,1.130667
Bi1La1O3,13.2,79.176,2.664,1.165873,10.74331,1.812,1.072
Bi2La4O9,12.4,74.504,2.610667,1.13614,10.6294,1.836,1.101333
Bi3La1O6,14.4,86.184,2.744,1.210473,10.91417,1.776,1.028
Bi1La1O3,13.2,79.176,2.664,1.165873,10.74331,1.812,1.072
Bi4La2O9,14,83.848,2.717333,1.195606,10.85722,1.788,1.042667
Bi5La1O9,14.8,88.52,2.770667,1.22534,10.97112,1.764,1.013333
