Compound,formula,Z,Period,Group,m,kai,EA,Nval,IE1,IE2,Rvdw,Rcov,MP,BP,Cp_g,Cp_mol,rho,E-fusion,E-vapor,ThermalConductivity
CaSc2Se4,CaSc2Se4,28.28571429,4,10.28571429,63.69142857,1.988571429,1.208,0,8.320814286,17.46160857,2.03,1.377142857,959.8928571,1686.864286,0.438142857,25.48871429,3.828,8.877142857,124.2214286,0.343942857
CaSc2Te4,CaSc2Te4,38.57142857,4.571428571,10.28571429,91.48571429,1.731428571,1.179885714,0,7.896362857,15.98160857,2.121428571,1.485714286,1090.584286,1860.007143,0.370142857,25.69842857,4.64,15.79142857,138.1128571,0.345714286
CaSe,CaSe,27,4,9,59.52,1.775,1.01,0,7.932775,16.53086,2.105,1.46,804.55,1357.65,0.484,25.646,3.1845,6.97,90.495,1.0152
CaTe,CaTe,36,4.5,9,83.84,1.55,0.9854,0,7.56138,15.23586,2.185,1.555,918.905,1509.15,0.4245,25.8295,3.895,13.02,102.65,1.01675
CaO4Y2,CaY2O4,18.57142857,3.142857143,10.28571429,40.27142857,2.457142857,0.922640857,0,10.43142286,25.25773143,1.861428571,1.117142857,703.27,1336.314571,0.702142857,28.07157143,2.315714286,4.604,127.8448,0.336438514
CaS4Y2,CaY2S4,23.14285714,3.714285714,10.28571429,49.45428571,1.965714286,1.27464,0,8.569685714,18.52446286,2.021428571,1.345714286,894.1271429,1694.927143,0.582142857,24.25557143,2.619142857,5.465714286,131.61,0.337822857
CaSe4Y2,CaY2Se4,33.42857143,4.285714286,10.28571429,76.24857143,1.948571429,1.242,0,8.222474286,17.29710286,2.078571429,1.425714286,954.4642857,1832.292857,0.361,25.77728571,4.252857143,7.562857143,140.9357143,0.347942857
CaTe4Y2,CaY2Te4,43.71428571,4.857142857,10.28571429,104.0428571,1.691428571,1.213885714,0,7.798022857,15.81710286,2.17,1.534285714,1085.155714,2005.435714,0.293,25.987,5.064857143,14.47714286,154.8271429,0.349714286
As2Cd3,Cd3As2,42,4.6,13.2,97.408,1.886,0.324,0,9.311732,17.580666,2.048,1.32,792.5914,979.75,0.2702,25.468,7.4808,14.86,72.882,0.7816
Cd3N2,Cd3N2,31.6,3.8,13.2,73.044,2.23,-0.028,0,11.209932,21.985506,1.928,1.124,381.7914,655.032,0.5546,27.2616,5.6904,3.924,61.03912,0.58090392
Cd3P2,Cd3P2,34.8,4.2,13.2,79.828,1.89,0.2986,0,9.590968,18.052786,2.028,1.276,483.4514,845.55,0.4462,25.1416,5.9192,4.036,64.882,0.58174
Cd3Sb2,Cd3Sb2,49.2,5,13.2,116.16,1.834,0.428,0,8.839648,16.796986,2.132,1.4,718.0426,1368.15,0.2214,25.704,7.8688,11.66,87.11,0.678
Al2CdO4,CdAl2O4,15.14285714,2.714285714,14.57142857,32.90857143,2.667142857,0.960926571,0,10.77679371,27.86425857,1.705714286,0.92,382.6578571,997.886,0.813857143,27.41885714,2.823714286,4.084,99.30194286,0.815581371
Al2CdS4,CdAl2S4,19.71428571,3.285714286,14.57142857,42.09142857,2.175714286,1.312925714,0,8.915056571,21.13099,1.865714286,1.148571429,573.515,1356.498571,0.693857143,23.60285714,3.127142857,4.945714286,103.0671429,0.816965714
Al2CdSe4,CdAl2Se4,30,3.857142857,14.57142857,68.88571429,2.158571429,1.280285714,0,8.567845143,19.90363,1.922857143,1.228571429,633.8521429,1493.864286,0.472714286,25.12457143,4.760857143,7.042857143,112.3928571,0.827085714
Al2CdTe4,CdAl2Te4,40.28571429,4.428571429,14.57142857,96.68,1.901428571,1.252171429,0,8.143393714,18.42363,2.014285714,1.337142857,764.5435714,1667.007143,0.404714286,25.33428571,5.572857143,13.95714286,126.2842857,0.828857143
Br2Cd,CdBr2,39.33333333,4.333333333,15.33333333,90.73333333,2.536666667,2.243333333,0,10.87380667,20.03010333,1.96,1.246666667,375.373,568.0166667,0.393,59.13333333,4.963333333,5.966666667,43.10666667,0.32348
CdCl2,CdCl2,27.33333333,3.666666667,15.33333333,61.1,2.67,2.411333333,0,11.64302667,21.51183667,1.893333333,1.133333333,312.5063333,506.1233333,0.396333333,31.306,5.026,4.233333333,40.09,0.322726
CdF2,CdF2,22,3,15.33333333,50.13333333,3.216666667,2.266,0,14.61314,28.94997,1.706666667,0.866666667,233.7263333,403.41,0.626333333,29.54266667,4.014,2.273333333,35.46986667,0.322852667
CdGa2O4,CdGa2O4,20.28571429,3,14.57142857,45.12,2.724285714,0.920640857,0,10.78066029,28.34614429,1.714285714,0.917142857,202.4983143,915.0288571,0.664142857,27.94171429,3.739142857,2.624,89.37622857,0.254438514
CdGa2S4,CdGa2S4,24.85714286,3.571428571,14.57142857,54.30285714,2.232857143,1.27264,0,8.918923143,21.61287571,1.874285714,1.145714286,393.3554571,1273.641429,0.544142857,24.12571429,4.042571429,3.485714286,93.14142857,0.255822857
CdGa2Se4,CdGa2Se4,35.14285714,4.142857143,14.57142857,81.09714286,2.215714286,1.24,0,8.571711714,20.38551571,1.931428571,1.225714286,453.6926,1411.007143,0.323,25.64742857,5.676285714,5.582857143,102.4671429,0.265942857
