name,Z,Period,Group,m,kai,EA,IE1,IE2,Rvdw,Rcov,MP,BP,Cp_g,Cp_mol,rho,E-fusion,E-vapor,ThermalConductivity
SrSc2O4,16.0,3.0,10.2857142857,34.5057142857,2.49,0.888640857143,10.4700042857,25.3020057143,1.83857142857,1.09142857143,699.412857143,1175.60028571,0.730571428571,27.906,2.04514285714,5.84114285714,108.591942857,0.0957242285714
SrSe,36.0,4.5,9.0,83.29,1.75,1.01,7.72362,16.11005,2.195,1.54,772.05,1304.15,0.3135,26.0765,3.7245,6.7,81.61,0.1867
SrTe,45.0,5.0,9.0,107.61,1.525,0.9854,7.352225,14.81505,2.275,1.635,886.405,1455.65,0.254,26.26,4.435,12.75,93.765,0.18825
SrY2O4,21.1428571429,3.28571428571,10.2857142857,47.0628571429,2.45,0.922640857143,10.3716642857,25.1375,1.88714285714,1.14,693.984285714,1321.02885714,0.653428571429,28.1945714286,2.47,4.52685714286,125.306228571,0.0997242285714
Y2O3,20.4,3.2,10.8,45.164,2.552,0.9994729,10.65775,25.96226,1.84,1.088,750.676,1501.3728,0.67,28.2388,2.6462,4.6932,147.36654,0.06896044
Y2S3,25.2,3.8,10.8,54.806,2.036,1.369072,8.702926,18.892328,2.008,1.328,951.076,1877.916,0.544,24.232,2.9648,5.598,151.32,0.070414
Y2Se3,36.0,4.4,10.8,82.94,2.018,1.3348,8.338354,17.6036,2.068,1.412,1014.43,2022.15,0.3118,25.8298,4.6802,7.8,161.112,0.08104
YAs,36.0,4.5,9.0,81.915,1.7,0.5585,8.00295,15.4066,2.085,1.48,1442.65,2253.65,0.3135,25.585,5.0995,19.55,197.85,0.337
YBr3,36.0,4.25,13.5,82.1525,2.525,2.6005,10.414675,19.24925,1.9675,1.3175,648.25,1153.5,0.43,63.4,3.458,7.2,101.86875,0.043915
YCl3,22.5,3.5,13.5,48.815,2.675,2.7895,11.2800475,20.9162,1.8925,1.19,577.525,1083.87,0.43375,32.09425,3.5285,5.25,98.475,0.04306675
YF3,16.5,2.75,13.5,36.4775,3.29,2.626,14.621425,29.2841,1.6825,0.89,488.8975,968.3175,0.6925,30.1105,2.39,3.045,93.27735,0.04320925
YI3,49.5,5.0,13.5,117.4025,2.3,2.371075,9.39277,17.404475,2.065,1.46,738.925,1247.7,0.235,47.455,4.823,8.67,106.5,0.0463675
YN,23.0,3.5,9.0,51.46,2.13,0.1185,10.3757,20.91265,1.935,1.235,929.15,1847.7525,0.669,27.827,2.8615,5.88,183.0464,0.0861299
YP,27.0,4.0,9.0,59.94,1.705,0.52675,8.351995,15.99675,2.06,1.425,1056.225,2085.9,0.5335,25.177,3.1475,6.02,187.85,0.087175
