formula,Z,Period,Group,m,kai,EA,IE1,IE2,Rvdw,Rcov,MP,BP,Cp_g,Cp_mol,rho,E-fusion,E-vapor,ThermalConductivity
LiBaN,22.0,3.33333333333,6.0,52.7503333333,1.63666666667,0.182666666667,8.379161,38.4150433333,2.01666666667,1.35666666667,505.65,1270.21833333,1.60866666667,27.3513333333,1.76533333333,3.78666666667,96.6976,0.343753266667
LiBaP,24.6666666667,3.66666666667,6.0,58.4036666667,1.35333333333,0.454833333333,7.03002433333,35.1377766667,2.1,1.48333333333,590.366666667,1428.98333333,1.51833333333,25.5846666667,1.956,3.88,99.9,0.34445
LiBaSb,36.6666666667,4.33333333333,6.0,88.6803333333,1.30666666667,0.562666666667,6.40392433333,34.0912766667,2.18666666667,1.58666666667,785.859333333,1864.48333333,1.331,26.0533333333,3.58066666667,10.2333333333,118.423333333,0.424666666667
LiBeAs,13.3333333333,2.66666666667,6.0,30.291,1.57666666667,0.476,8.167673,37.4801133333,1.73333333333,1.16333333333,1034.65,1748.48333333,1.912,21.981,2.70333333333,12.8833333333,158.833333333,1.11966666667
LiBeBr3,22.4,3.2,10.8,51.1306,2.286,2.1426,10.0311638,31.724828,1.78,1.16,562.33,1070.43,1.3658,53.6746,2.3486,5.67,97.655,0.572132
LiBeCl3,11.6,2.6,10.8,24.4606,2.406,2.2938,10.7234618,33.058388,1.72,1.058,505.75,1014.726,1.3688,28.63,2.405,4.11,94.94,0.5714534
LiBeF3,6.8,2.0,10.8,14.5906,2.898,2.163,13.3965638,39.752708,1.552,0.818,434.848,922.284,1.5758,27.043,1.4942,2.346,90.78188,0.5715674
LiBeI3,33.2,3.8,10.8,79.3306,2.106,1.95906,9.2136398,30.249008,1.858,1.274,634.87,1145.79,1.2098,40.9186,3.4406,6.846,101.36,0.574094
LiBeN,4.66666666667,2.0,6.0,9.98766666667,1.86333333333,0.182666666667,9.74950633333,41.1508133333,1.63333333333,1.0,692.316666667,1477.885,2.149,23.4756666667,1.21133333333,3.77,148.964266667,0.952419933333
LiBeP,7.33333333333,2.33333333333,6.0,15.641,1.58,0.454833333333,8.40036966667,37.8735466667,1.71666666667,1.12666666667,777.033333333,1636.65,2.05866666667,21.709,1.402,3.86333333333,152.166666667,0.953116666667
LiBeSb,19.3333333333,3.0,6.0,45.9176666667,1.53333333333,0.562666666667,7.77426966667,36.8270466667,1.80333333333,1.23,972.526,2072.15,1.87133333333,22.1776666667,3.02666666667,10.2166666667,170.69,1.03333333333
LiBr,19.0,3.0,9.0,43.4205,1.97,1.9915,8.6027595,48.6155,1.835,1.235,359.8,973.55,2.028,50.275,1.8275,4.4,80.9125,0.42411
LiCaAs,18.6666666667,3.33333333333,6.0,40.647,1.38666666667,0.476,7.09782633333,35.3669733333,1.99333333333,1.41333333333,886.316666667,1420.48333333,1.51933333333,25.143,2.604,13.08,111.39,1.11966666667
LiCaBr3,25.6,3.6,10.8,57.3442,2.172,2.1426,9.3892558,30.456944,1.936,1.31,473.33,873.63,1.1302,55.5718,2.289,5.788,69.189,0.572132
LiCaCl3,14.8,3.0,10.8,30.6742,2.292,2.2938,10.0815538,31.790504,1.876,1.208,416.75,817.926,1.1332,30.5272,2.3454,4.228,66.474,0.5714534
LiCaF3,10.0,2.4,10.8,20.8042,2.784,2.163,12.7546558,38.484824,1.708,0.968,345.848,725.484,1.3402,28.9402,1.4346,2.464,62.31588,0.5715674
LiCaI3,36.4,4.2,10.8,85.5442,1.992,1.95906,8.5717318,28.981124,2.014,1.424,545.87,948.99,0.9742,42.8158,3.381,6.964,72.894,0.574094
LiCaN,10.0,2.66666666667,6.0,20.3436666667,1.67333333333,0.182666666667,8.67965966667,39.0376733333,1.89333333333,1.25,543.983333333,1149.885,1.75633333333,26.6376666667,1.112,3.96666666667,101.520933333,0.952419933333
LiCaP,12.6666666667,3.0,6.0,25.997,1.39,0.454833333333,7.330523,35.7604066667,1.97666666667,1.37666666667,628.7,1308.65,1.666,24.871,1.30266666667,4.06,104.723333333,0.953116666667
