Compound,type,st,a1,a2,a3,n1,n2,n3,Ecoh,BM,bandgap,formula
BC2Y4_Na2MnO4_Ca_In_S,BC2Y4,Na2MnO4,Ca,In,S,2,4,8,3.88277,50.05,0.0244,CaIn2S4
BC2Y4_Na2MnO4_Ca_In_Te,BC2Y4,Na2MnO4,Ca,In,Te,2,4,8,3.03956,23.1,0.006,CaIn2Te4
BC2Y4_Na2MnO4_Ca_Sc_O,BC2Y4,Na2MnO4,Ca,Sc,O,2,4,8,7.74442,120.8,2.9137,CaSc2O4
BC2Y4_Na2MnO4_Ca_Sc_S,BC2Y4,Na2MnO4,Ca,Sc,S,2,4,8,5.85863,64.4,1.0515,CaSc2S4
BC2Y4_Na2MnO4_Ca_Sc_Te,BC2Y4,Na2MnO4,Ca,Sc,Te,2,4,8,4.72408,48,0.1095,CaSc2Te4
BC2Y4_Na2MnO4_Ca_Y_O,BC2Y4,Na2MnO4,Ca,Y,O,2,4,8,7.71182,106.6,2.181,CaY2O4
BC2Y4_Na2MnO4_Ca_Y_S,BC2Y4,Na2MnO4,Ca,Y,S,2,4,8,6.04087,57,1.0372,CaY2S4
BC2Y4_Na2MnO4_Ca_Y_Te,BC2Y4,Na2MnO4,Ca,Y,Te,2,4,8,4.92078,37.65,0.3829,CaY2Te4
BC2Y4_Na2MnO4_Ca_La_O,BC2Y4,Na2MnO4,Ca,La,O,2,4,8,7.30074,90.55,2.6779,CaLa2O4
BC2Y4_Na2MnO4_Ca_La_S,BC2Y4,Na2MnO4,Ca,La,S,2,4,8,5.71521,50.55,1.3062,CaLa2S4
BC2Y4_Na2MnO4_Ca_La_Se,BC2Y4,Na2MnO4,Ca,La,Se,2,4,8,4.0878,7172.55,,CaLa2Se4
BC2Y4_Na2MnO4_Sr_Al_O,BC2Y4,Na2MnO4,Sr,Al,O,2,4,8,5.84855,57.65,0.2575,SrAl2O4
BC2Y4_Na2MnO4_Sr_Al_S,BC2Y4,Na2MnO4,Sr,Al,S,2,4,8,4.6427,52.3,0.9354,SrAl2S4
BC2Y4_Na2MnO4_Sr_Al_Se,BC2Y4,Na2MnO4,Sr,Al,Se,2,4,8,3.66473,31.1,0.3373,SrAl2Se4
BC2Y4_Na2MnO4_Sr_Al_Te,BC2Y4,Na2MnO4,Sr,Al,Te,2,4,8,3.44918,40.85,0.1138,SrAl2Te4
BC2Y4_Na2MnO4_Sr_Ga_O,BC2Y4,Na2MnO4,Sr,Ga,O,2,4,8,4.83592,73.55,0.139,SrGa2O4
BC2Y4_Na2MnO4_Sr_Ga_S,BC2Y4,Na2MnO4,Sr,Ga,S,2,4,8,3.58483,33.1,0.0407,SrGa2S4
BC2Y4_Na2MnO4_Sr_Ga_Te,BC2Y4,Na2MnO4,Sr,Ga,Te,2,4,8,3.18296,26.15,0.7161,SrGa2Te4
BC2Y4_Na2MnO4_Sr_In_O,BC2Y4,Na2MnO4,Sr,In,O,2,4,8,4.71853,70.3,0.0921,SrIn2O4
BC2Y4_Na2MnO4_Sr_In_S,BC2Y4,Na2MnO4,Sr,In,S,2,4,8,3.86914,49.95,0,SrIn2S4
BC2Y4_Na2MnO4_Sr_In_Te,BC2Y4,Na2MnO4,Sr,In,Te,2,4,8,3.04368,25.2,0.0129,SrIn2Te4
BC2Y4_Na2MnO4_Sr_Sc_O,BC2Y4,Na2MnO4,Sr,Sc,O,2,4,8,7.72422,110.25,2.8788,SrSc2O4
BC2Y4_Na2MnO4_Sr_Sc_S,BC2Y4,Na2MnO4,Sr,Sc,S,2,4,8,5.84002,60.35,1.3735,SrSc2S4
BC2Y4_Na2MnO4_Sr_Sc_Te,BC2Y4,Na2MnO4,Sr,Sc,Te,2,4,8,4.71595,54.4,0.2283,SrSc2Te4
BC2Y4_Na2MnO4_Sr_Y_O,BC2Y4,Na2MnO4,Sr,Y,O,2,4,8,7.66268,94.65,2.4702,SrY2O4
BC2Y4_Na2MnO4_Sr_Y_S,BC2Y4,Na2MnO4,Sr,Y,S,2,4,8,6.00339,53.8,1.3153,SrY2S4
BC2Y4_Na2MnO4_Sr_Y_Te,BC2Y4,Na2MnO4,Sr,Y,Te,2,4,8,4.90318,38.05,0.5796,SrY2Te4
BC2Y4_Na2MnO4_Sr_La_O,BC2Y4,Na2MnO4,Sr,La,O,2,4,8,7.1936,82.25,2.4643,SrLa2O4
BC2Y4_Na2MnO4_Sr_La_S,BC2Y4,Na2MnO4,Sr,La,S,2,4,8,5.66234,48.6,1.4612,SrLa2S4
BC2Y4_Na2MnO4_Ba_Al_O,BC2Y4,Na2MnO4,Ba,Al,O,,2,8,6.87537,108.95,1.8489,BaAl2O4
BC2Y4_Na2MnO4_Ba_Al_Se,BC2Y4,Na2MnO4,Ba,Al,Se,,2,8,4.14324,30.3,0.9346,BaAl2Se4
BC2Y4_Na2MnO4_Ba_Ga_O,BC2Y4,Na2MnO4,Ba,Ga,O,,2,8,4.77218,68.45,0.1215,BaGa2O4
BC2Y4_Na2MnO4_Ba_In_O,BC2Y4,Na2MnO4,Ba,In,O,,2,8,4.67424,63.75,0.0362,BaIn2O4
BC2Y4_Na2MnO4_Ba_In_Se,BC2Y4,Na2MnO4,Ba,In,Se,,2,8,3.58688,31.9,0.0822,BaIn2Se4
BC2Y4_Na2MnO4_Ba_Sc_O,BC2Y4,Na2MnO4,Ba,Sc,O,,2,8,7.80489,98.4,2.9844,BaSc2O4
BC2Y4_Na2MnO4_Ba_Y_O,BC2Y4,Na2MnO4,Ba,Y,O,,,8,7.73929,87.35,2.8229,BaY2O4
BC2Y4_Na2MnO4_Ba_Y_Se,BC2Y4,Na2MnO4,Ba,Y,Se,,,8,5.57841,44.2,1.054,BaY2Se4
BC2Y4_Na2MnO4_Ba_La_O,BC2Y4,Na2MnO4,Ba,La,O,,2,8,7.28752,74.8,2.5786,BaLa2O4
BC2Y4_Na2MnO4_Zn_Al_O,BC2Y4,Na2MnO4,Zn,Al,O,2,4,8,6.06239,152.55,0.4591,ZnAl2O4
BC2Y4_Na2MnO4_Zn_Al_S,BC2Y4,Na2MnO4,Zn,Al,S,2,4,8,3.98151,73.7,0,ZnAl2S4
BC2Y4_Na2MnO4_Zn_Al_Se,BC2Y4,Na2MnO4,Zn,Al,Se,2,4,8,3.4772,55.9,0.1106,ZnAl2Se4
BC2Y4_Na2MnO4_Zn_Ga_O,BC2Y4,Na2MnO4,Zn,Ga,O,2,4,8,4.99601,168.55,0,ZnGa2O4
BC2Y4_Na2MnO4_Zn_Ga_S,BC2Y4,Na2MnO4,Zn,Ga,S,2,4,8,3.0245,27.1,2.7336,ZnGa2S4
BC2Y4_Na2MnO4_Zn_Ga_Se,BC2Y4,Na2MnO4,Zn,Ga,Se,2,4,8,3.10346,49.2,0.0854,ZnGa2Se4
BC2Y4_Na2MnO4_Zn_In_O,BC2Y4,Na2MnO4,Zn,In,O,2,4,8,4.72801,125.95,0,ZnIn2O4
BC2Y4_Na2MnO4_Zn_In_S,BC2Y4,Na2MnO4,Zn,In,S,2,4,8,2.97734,37.75,0,ZnIn2S4
BC2Y4_Na2MnO4_Zn_In_Se,BC2Y4,Na2MnO4,Zn,In,Se,2,4,8,3.02036,49.45,0.0713,ZnIn2Se4
BC2Y4_Na2MnO4_Zn_Sc_O,BC2Y4,Na2MnO4,Zn,Sc,O,2,4,8,7.18043,160.35,2.6783,ZnSc2O4
BC2Y4_Na2MnO4_Zn_Sc_S,BC2Y4,Na2MnO4,Zn,Sc,S,2,4,8,5.40118,73.55,0.1012,ZnSc2S4
BC2Y4_Na2MnO4_Zn_Sc_Se,BC2Y4,Na2MnO4,Zn,Sc,Se,2,4,8,4.89322,61.15,0,ZnSc2Se4
BC2Y4_Na2MnO4_Zn_Sc_Te,BC2Y4,Na2MnO4,Zn,Sc,Te,2,4,8,4.31215,49.45,0.0084,ZnSc2Te4
BC2Y4_Na2MnO4_Zn_Y_O,BC2Y4,Na2MnO4,Zn,Y,O,2,4,8,7.2425,129.9,2.4283,ZnY2O4
BC2Y4_Na2MnO4_Zn_Y_S,BC2Y4,Na2MnO4,Zn,Y,S,2,4,8,5.61914,68.05,0.4764,ZnY2S4
BC2Y4_Na2MnO4_Zn_Y_Se,BC2Y4,Na2MnO4,Zn,Y,Se,2,4,8,5.11036,55.3,0.1259,ZnY2Se4
BC2Y4_Na2MnO4_Zn_Y_Te,BC2Y4,Na2MnO4,Zn,Y,Te,2,4,8,4.51786,47.05,0,ZnY2Te4
BC2Y4_Na2MnO4_Zn_La_O,BC2Y4,Na2MnO4,Zn,La,O,2,4,8,6.88048,113.35,3.2655,ZnLa2O4
BC2Y4_Na2MnO4_Zn_La_S,BC2Y4,Na2MnO4,Zn,La,S,2,4,8,5.32986,62.95,0.7871,ZnLa2S4
BC2Y4_Na2MnO4_Cd_Al_O,BC2Y4,Na2MnO4,Cd,Al,O,2,4,8,6.04211,86.95,0.6069,CdAl2O4
BC2Y4_Na2MnO4_Cd_Al_Se,BC2Y4,Na2MnO4,Cd,Al,Se,2,4,8,3.41997,55.9,0.0589,CdAl2Se4
BC2Y4_Na2MnO4_Cd_Al_Te,BC2Y4,Na2MnO4,Cd,Al,Te,2,4,8,2.95035,47.45,0.0393,CdAl2Te4
BC2Y4_Na2MnO4_Cd_Ga_O,BC2Y4,Na2MnO4,Cd,Ga,O,2,4,8,4.45304,97,0,CdGa2O4
BC2Y4_Na2MnO4_Cd_Ga_Te,BC2Y4,Na2MnO4,Cd,Ga,Te,2,4,8,2.63161,30.3,0.2508,CdGa2Te4
BC2Y4_Na2MnO4_Cd_In_O,BC2Y4,Na2MnO4,Cd,In,O,2,4,8,4.54068,121.15,0,CdIn2O4
BC2Y4_Na2MnO4_Cd_Sc_O,BC2Y4,Na2MnO4,Cd,Sc,O,2,4,8,7.03462,133.5,1.4737,CdSc2O4
BC2Y4_Na2MnO4_Cd_Y_O,BC2Y4,Na2MnO4,Cd,Y,O,2,4,8,7.04715,114.35,1.5511,CdY2O4
BC2Y4_Na2MnO4_Cd_Y_Te,BC2Y4,Na2MnO4,Cd,Y,Te,2,4,8,4.45969,40.05,0,CdY2Te4
BC2Y4_Na2MnO4_Cd_La_O,BC2Y4,Na2MnO4,Cd,La,O,2,4,8,6.65137,100.75,2.9138,CdLa2O4
BC2Y4_Na2MnO4_Hg_Al_O,BC2Y4,Na2MnO4,Hg,Al,O,2,4,8,4.94803,117.15,0,HgAl2O4
BC2Y4_Na2MnO4_Hg_Al_Se,BC2Y4,Na2MnO4,Hg,Al,Se,2,4,8,3.30152,51.75,0,HgAl2Se4
BC2Y4_Na2MnO4_Hg_Al_Te,BC2Y4,Na2MnO4,Hg,Al,Te,2,4,8,2.87131,33.05,0.0001,HgAl2Te4
BC2Y4_Na2MnO4_Hg_Ga_O,BC2Y4,Na2MnO4,Hg,Ga,O,2,4,8,4.21849,109.85,0.0225,HgGa2O4
BC2Y4_Na2MnO4_Hg_Ga_S,BC2Y4,Na2MnO4,Hg,Ga,S,2,4,8,2.96998,15.85,2.2651,HgGa2S4
BC2Y4_Na2MnO4_Hg_Ga_Se,BC2Y4,Na2MnO4,Hg,Ga,Se,2,4,8,2.85794,46.25,0.145,HgGa2Se4
BC2Y4_Na2MnO4_Hg_In_O,BC2Y4,Na2MnO4,Hg,In,O,2,4,8,4.04305,102,0,HgIn2O4
BC2Y4_Na2MnO4_Hg_In_Se,BC2Y4,Na2MnO4,Hg,In,Se,2,4,8,2.71888,26.5,1.741,HgIn2Se4
BC2Y4_Na2MnO4_Hg_Sc_S,BC2Y4,Na2MnO4,Hg,Sc,S,2,4,8,5.0936,67.2,0.0977,HgSc2S4
BC2Y4_Na2MnO4_Hg_Sc_Se,BC2Y4,Na2MnO4,Hg,Sc,Se,2,4,8,4.62955,55.8,0,HgSc2Se4
BC2Y4_Na2MnO4_Hg_Y_O,BC2Y4,Na2MnO4,Hg,Y,O,2,4,8,6.8083,110.95,0.7335,HgY2O4
BC2Y4_Na2MnO4_Hg_Y_S,BC2Y4,Na2MnO4,Hg,Y,S,2,4,8,5.30377,60.95,0.4715,HgY2S4
BC2Y4_Na2MnO4_Hg_Y_Se,BC2Y4,Na2MnO4,Hg,Y,Se,2,4,8,4.83982,53.55,0.0095,HgY2Se4
BC2Y4_Na2MnO4_Hg_Y_Te,BC2Y4,Na2MnO4,Hg,Y,Te,2,4,8,4.24681,33.45,0.0104,HgY2Te4
BC2Y4_Na2MnO4_Hg_La_O,BC2Y4,Na2MnO4,Hg,La,O,2,4,8,6.39014,97.95,1.4472,HgLa2O4
BC2Y4_Na2MnO4_Hg_La_S,BC2Y4,Na2MnO4,Hg,La,S,2,4,8,4.66107,32.55,1.7703,HgLa2S4
BC2Y4_Nd2CuO4_Be_Al_O,BC2Y4,Nd2CuO4,Be,Al,O,2,4,8,6.68825,212.6,2.4688,BeAl2O4
BC2Y4_Nd2CuO4_Be_Al_S,BC2Y4,Nd2CuO4,Be,Al,S,2,4,8,4.21268,78.9,0,BeAl2S4
BC2Y4_Nd2CuO4_Be_Al_Se,BC2Y4,Nd2CuO4,Be,Al,Se,2,4,8,3.68773,61.9,0,BeAl2Se4
BC2Y4_Nd2CuO4_Be_Ga_O,BC2Y4,Nd2CuO4,Be,Ga,O,2,4,8,5.74809,216.05,0.3034,BeGa2O4
BC2Y4_Nd2CuO4_Be_Ga_S,BC2Y4,Nd2CuO4,Be,Ga,S,2,4,8,3.71867,68.55,0,BeGa2S4
BC2Y4_Nd2CuO4_Be_Ga_Se,BC2Y4,Nd2CuO4,Be,Ga,Se,2,4,8,3.3339,54.85,0.0505,BeGa2Se4
BC2Y4_Nd2CuO4_Be_Ga_Te,BC2Y4,Nd2CuO4,Be,Ga,Te,2,4,8,2.96661,67.6,0,BeGa2Te4
BC2Y4_Nd2CuO4_Be_In_O,BC2Y4,Nd2CuO4,Be,In,O,2,4,8,5.58773,196.3,0.0963,BeIn2O4
BC2Y4_Nd2CuO4_Be_In_S,BC2Y4,Nd2CuO4,Be,In,S,2,4,8,3.73609,77.25,0,BeIn2S4
BC2Y4_Nd2CuO4_Be_In_Se,BC2Y4,Nd2CuO4,Be,In,Se,2,4,8,3.33166,52.85,0.0732,BeIn2Se4
BC2Y4_Nd2CuO4_Be_In_Te,BC2Y4,Nd2CuO4,Be,In,Te,2,4,8,2.90015,44.75,0.1726,BeIn2Te4
BC2Y4_Nd2CuO4_Be_Sc_O,BC2Y4,Nd2CuO4,Be,Sc,O,2,4,8,8.15914,208.9,3.0808,BeSc2O4
BC2Y4_Nd2CuO4_Be_Sc_S,BC2Y4,Nd2CuO4,Be,Sc,S,2,4,8,5.86637,89.25,0.1045,BeSc2S4
BC2Y4_Nd2CuO4_Be_Sc_Se,BC2Y4,Nd2CuO4,Be,Sc,Se,2,4,8,5.28357,70.85,0.046,BeSc2Se4
BC2Y4_Nd2CuO4_Be_Sc_Te,BC2Y4,Nd2CuO4,Be,Sc,Te,2,4,8,4.60973,63.8,0,BeSc2Te4
BC2Y4_Nd2CuO4_Be_Y_O,BC2Y4,Nd2CuO4,Be,Y,O,2,4,8,8.2196,163.85,2.7938,BeY2O4
BC2Y4_Nd2CuO4_Be_Y_S,BC2Y4,Nd2CuO4,Be,Y,S,2,4,8,6.15573,79.7,0.4509,BeY2S4
BC2Y4_Nd2CuO4_Be_Y_Se,BC2Y4,Nd2CuO4,Be,Y,Se,2,4,8,5.57909,62.5,0.0232,BeY2Se4
BC2Y4_Nd2CuO4_Be_Y_Te,BC2Y4,Nd2CuO4,Be,Y,Te,2,4,8,4.89127,55.75,0,BeY2Te4
BC2Y4_Nd2CuO4_Be_La_O,BC2Y4,Nd2CuO4,Be,La,O,2,4,8,7.69541,146.85,2.2904,BeLa2O4
BC2Y4_Nd2CuO4_Be_La_S,BC2Y4,Nd2CuO4,Be,La,S,2,4,8,5.8825,71.35,0.4977,BeLa2S4
BC2Y4_Nd2CuO4_Be_La_Se,BC2Y4,Nd2CuO4,Be,La,Se,2,4,8,5.33878,61.05,0,BeLa2Se4
BC2Y4_Nd2CuO4_Mg_Al_O,BC2Y4,Nd2CuO4,Mg,Al,O,2,4,8,6.2187,172.9,0.8315,MgAl2O4
BC2Y4_Nd2CuO4_Mg_Al_S,BC2Y4,Nd2CuO4,Mg,Al,S,2,4,8,3.99999,69.55,0,MgAl2S4
BC2Y4_Nd2CuO4_Mg_Al_Se,BC2Y4,Nd2CuO4,Mg,Al,Se,2,4,8,3.54045,54.2,0,MgAl2Se4
BC2Y4_Nd2CuO4_Mg_Al_Te,BC2Y4,Nd2CuO4,Mg,Al,Te,2,4,8,3.09723,66.4,0.883,MgAl2Te4
BC2Y4_Nd2CuO4_Mg_Ga_O,BC2Y4,Nd2CuO4,Mg,Ga,O,2,4,8,5.40179,164.75,0.5452,MgGa2O4
BC2Y4_Nd2CuO4_Mg_Ga_S,BC2Y4,Nd2CuO4,Mg,Ga,S,2,4,8,3.62262,59.55,0.8251,MgGa2S4
BC2Y4_Nd2CuO4_Mg_Ga_Se,BC2Y4,Nd2CuO4,Mg,Ga,Se,2,4,8,3.30903,48.75,1.045,MgGa2Se4
BC2Y4_Nd2CuO4_Mg_Ga_Te,BC2Y4,Nd2CuO4,Mg,Ga,Te,2,4,8,2.92932,25.95,0.3072,MgGa2Te4
BC2Y4_Nd2CuO4_Mg_In_O,BC2Y4,Nd2CuO4,Mg,In,O,2,4,8,5.4249,160.9,0.3437,MgIn2O4
BC2Y4_Nd2CuO4_Mg_In_S,BC2Y4,Nd2CuO4,Mg,In,S,2,4,8,3.6423,68.45,0.0611,MgIn2S4
BC2Y4_Nd2CuO4_Mg_In_Se,BC2Y4,Nd2CuO4,Mg,In,Se,2,4,8,3.27269,52.8,0.7152,MgIn2Se4
BC2Y4_Nd2CuO4_Mg_In_Te,BC2Y4,Nd2CuO4,Mg,In,Te,2,4,8,2.91731,37.5,0.5317,MgIn2Te4
BC2Y4_Nd2CuO4_Mg_Sc_O,BC2Y4,Nd2CuO4,Mg,Sc,O,2,4,8,7.84023,176.85,2.6245,MgSc2O4
BC2Y4_Nd2CuO4_Mg_Sc_S,BC2Y4,Nd2CuO4,Mg,Sc,S,2,4,8,5.70476,80.25,0.2995,MgSc2S4
BC2Y4_Nd2CuO4_Mg_Sc_Se,BC2Y4,Nd2CuO4,Mg,Sc,Se,2,4,8,5.14487,65.45,0.0163,MgSc2Se4
BC2Y4_Nd2CuO4_Mg_Sc_Te,BC2Y4,Nd2CuO4,Mg,Sc,Te,2,4,8,4.46493,58.4,0.2499,MgSc2Te4
BC2Y4_Nd2CuO4_Mg_Y_O,BC2Y4,Nd2CuO4,Mg,Y,O,2,4,8,8.0626,153.3,3.3669,MgY2O4
BC2Y4_Nd2CuO4_Mg_Y_S,BC2Y4,Nd2CuO4,Mg,Y,S,2,4,8,6.08662,78.7,1.1125,MgY2S4
BC2Y4_Nd2CuO4_Mg_Y_Se,BC2Y4,Nd2CuO4,Mg,Y,Se,2,4,8,5.51553,59.65,0.4905,MgY2Se4
BC2Y4_Nd2CuO4_Mg_Y_Te,BC2Y4,Nd2CuO4,Mg,Y,Te,2,4,8,4.81091,57.4,0.1807,MgY2Te4
BC2Y4_Nd2CuO4_Mg_La_O,BC2Y4,Nd2CuO4,Mg,La,O,2,4,8,7.63492,133.5,2.9399,MgLa2O4
BC2Y4_Nd2CuO4_Mg_La_S,BC2Y4,Nd2CuO4,Mg,La,S,2,4,8,5.86319,66.4,1.5204,MgLa2S4
BC2Y4_Nd2CuO4_Mg_La_Te,BC2Y4,Nd2CuO4,Mg,La,Te,2,4,8,4.64201,65.7,0.0881,MgLa2Te4
BC2Y4_Nd2CuO4_Ca_Al_O,BC2Y4,Nd2CuO4,Ca,Al,O,2,4,8,5.7797,135.2,0,CaAl2O4
BC2Y4_Nd2CuO4_Ca_Al_S,BC2Y4,Nd2CuO4,Ca,Al,S,2,4,8,4.07528,57.25,0.556,CaAl2S4
BC2Y4_Nd2CuO4_Ca_Al_Se,BC2Y4,Nd2CuO4,Ca,Al,Se,2,4,8,3.7334,49.65,0.9132,CaAl2Se4
BC2Y4_Nd2CuO4_Ca_Al_Te,BC2Y4,Nd2CuO4,Ca,Al,Te,2,4,8,3.32294,32.55,0.9603,CaAl2Te4
BC2Y4_Nd2CuO4_Ca_Ga_O,BC2Y4,Nd2CuO4,Ca,Ga,O,2,4,8,5.10825,120.65,0.0067,CaGa2O4
BC2Y4_Nd2CuO4_Ca_Ga_S,BC2Y4,Nd2CuO4,Ca,Ga,S,2,4,8,3.89421,53.15,0.8558,CaGa2S4
BC2Y4_Nd2CuO4_Ca_Ga_Se,BC2Y4,Nd2CuO4,Ca,Ga,Se,2,4,8,3.59275,42.25,1.0026,CaGa2Se4
BC2Y4_Nd2CuO4_Ca_Ga_Te,BC2Y4,Nd2CuO4,Ca,Ga,Te,2,4,8,3.25374,41.9,0.9802,CaGa2Te4
BC2Y4_Nd2CuO4_Ca_In_O,BC2Y4,Nd2CuO4,Ca,In,O,2,4,8,5.30216,126.15,0,CaIn2O4
BC2Y4_Nd2CuO4_Ca_In_S,BC2Y4,Nd2CuO4,Ca,In,S,2,4,8,3.86655,54.2,0.7937,CaIn2S4
BC2Y4_Nd2CuO4_Ca_In_Se,BC2Y4,Nd2CuO4,Ca,In,Se,2,4,8,3.57811,43.1,0.9428,CaIn2Se4
BC2Y4_Nd2CuO4_Ca_In_Te,BC2Y4,Nd2CuO4,Ca,In,Te,2,4,8,3.21717,28.5,0.9244,CaIn2Te4
BC2Y4_Nd2CuO4_Ca_Sc_O,BC2Y4,Nd2CuO4,Ca,Sc,O,2,4,8,7.55096,153.8,1.2799,CaSc2O4
BC2Y4_Nd2CuO4_Ca_Sc_S,BC2Y4,Nd2CuO4,Ca,Sc,S,2,4,8,5.72363,67.3,0.0125,CaSc2S4
BC2Y4_Nd2CuO4_Ca_Sc_Se,BC2Y4,Nd2CuO4,Ca,Sc,Se,2,4,8,5.21953,54.75,0.0138,CaSc2Se4
BC2Y4_Nd2CuO4_Ca_Sc_Te,BC2Y4,Nd2CuO4,Ca,Sc,Te,2,4,8,4.59115,71.45,0.125,CaSc2Te4
BC2Y4_Nd2CuO4_Ca_Y_O,BC2Y4,Nd2CuO4,Ca,Y,O,2,4,8,7.95537,129.6,2.5789,CaY2O4
BC2Y4_Nd2CuO4_Ca_Y_S,BC2Y4,Nd2CuO4,Ca,Y,S,2,4,8,6.18138,65.95,1.0153,CaY2S4
BC2Y4_Nd2CuO4_Ca_Y_Se,BC2Y4,Nd2CuO4,Ca,Y,Se,2,4,8,5.65008,56.85,0.4534,CaY2Se4
BC2Y4_Nd2CuO4_Ca_Y_Te,BC2Y4,Nd2CuO4,Ca,Y,Te,2,4,8,4.97975,52.1,0.1772,CaY2Te4
BC2Y4_Nd2CuO4_Ca_La_O,BC2Y4,Nd2CuO4,Ca,La,O,2,4,8,7.6588,123.4,2.8366,CaLa2O4
BC2Y4_Nd2CuO4_Ca_La_S,BC2Y4,Nd2CuO4,Ca,La,S,2,4,8,6.01478,61.95,1.6232,CaLa2S4
BC2Y4_Nd2CuO4_Ca_La_Te,BC2Y4,Nd2CuO4,Ca,La,Te,2,4,8,4.84792,41.15,0.4696,CaLa2Te4
BC2Y4_Nd2CuO4_Sr_Al_O,BC2Y4,Nd2CuO4,Sr,Al,O,2,4,8,5.3266,112.35,0,SrAl2O4
BC2Y4_Nd2CuO4_Sr_Al_S,BC2Y4,Nd2CuO4,Sr,Al,S,2,4,8,4.00724,51.5,0.7716,SrAl2S4
BC2Y4_Nd2CuO4_Sr_Al_Se,BC2Y4,Nd2CuO4,Sr,Al,Se,2,4,8,3.68405,41.55,0.9523,SrAl2Se4
BC2Y4_Nd2CuO4_Sr_Al_Te,BC2Y4,Nd2CuO4,Sr,Al,Te,2,4,8,3.27549,26.2,0.8982,SrAl2Te4
BC2Y4_Nd2CuO4_Sr_Ga_O,BC2Y4,Nd2CuO4,Sr,Ga,O,2,4,8,4.76802,95.65,0.6258,SrGa2O4
BC2Y4_Nd2CuO4_Sr_Ga_S,BC2Y4,Nd2CuO4,Sr,Ga,S,2,4,8,3.86354,43.9,0.8236,SrGa2S4
BC2Y4_Nd2CuO4_Sr_Ga_Se,BC2Y4,Nd2CuO4,Sr,Ga,Se,2,4,8,3.5735,43.55,0.9454,SrGa2Se4
BC2Y4_Nd2CuO4_Sr_Ga_Te,BC2Y4,Nd2CuO4,Sr,Ga,Te,2,4,8,3.23287,37.05,0.9234,SrGa2Te4
BC2Y4_Nd2CuO4_Sr_In_O,BC2Y4,Nd2CuO4,Sr,In,O,2,4,8,4.98111,105.4,0,SrIn2O4
BC2Y4_Nd2CuO4_Sr_In_S,BC2Y4,Nd2CuO4,Sr,In,S,2,4,8,3.83819,48.9,0.7677,SrIn2S4
BC2Y4_Nd2CuO4_Sr_In_Se,BC2Y4,Nd2CuO4,Sr,In,Se,2,4,8,3.56038,45.4,0.9276,SrIn2Se4
BC2Y4_Nd2CuO4_Sr_In_Te,BC2Y4,Nd2CuO4,Sr,In,Te,2,4,8,3.20659,32.3,0.875,SrIn2Te4
BC2Y4_Nd2CuO4_Sr_Sc_O,BC2Y4,Nd2CuO4,Sr,Sc,O,2,4,8,7.09833,124.6,0,SrSc2O4
BC2Y4_Nd2CuO4_Sr_Sc_S,BC2Y4,Nd2CuO4,Sr,Sc,S,2,4,8,5.46571,59.25,0.049,SrSc2S4
BC2Y4_Nd2CuO4_Sr_Sc_Se,BC2Y4,Nd2CuO4,Sr,Sc,Se,2,4,8,5.00448,52.05,0.0423,SrSc2Se4
BC2Y4_Nd2CuO4_Sr_Sc_Te,BC2Y4,Nd2CuO4,Sr,Sc,Te,2,4,8,4.43711,27.55,0.2418,SrSc2Te4
BC2Y4_Nd2CuO4_Sr_Y_O,BC2Y4,Nd2CuO4,Sr,Y,O,2,4,8,7.59852,117.1,1.085,SrY2O4
BC2Y4_Nd2CuO4_Sr_Y_S,BC2Y4,Nd2CuO4,Sr,Y,S,2,4,8,5.96796,64.05,0.6895,SrY2S4
BC2Y4_Nd2CuO4_Sr_Y_Se,BC2Y4,Nd2CuO4,Sr,Y,Se,2,4,8,5.4686,50.05,0.1678,SrY2Se4
BC2Y4_Nd2CuO4_Sr_Y_Te,BC2Y4,Nd2CuO4,Sr,Y,Te,2,4,8,4.83852,47.05,0.166,SrY2Te4
BC2Y4_Nd2CuO4_Sr_La_O,BC2Y4,Nd2CuO4,Sr,La,O,2,4,8,7.38523,109.4,2.0259,SrLa2O4
BC2Y4_Nd2CuO4_Ba_Al_O,BC2Y4,Nd2CuO4,Ba,Al,O,2,4,8,5.08389,69.6,1.9353,BaAl2O4
BC2Y4_Nd2CuO4_Ba_Al_S,BC2Y4,Nd2CuO4,Ba,Al,S,2,4,8,3.97296,46.35,0.5428,BaAl2S4
BC2Y4_Nd2CuO4_Ba_Al_Se,BC2Y4,Nd2CuO4,Ba,Al,Se,2,4,8,3.68133,39.95,0.6897,BaAl2Se4
BC2Y4_Nd2CuO4_Ba_Al_Te,BC2Y4,Nd2CuO4,Ba,Al,Te,2,4,8,3.30942,19.95,0.8608,BaAl2Te4
BC2Y4_Nd2CuO4_Ba_Ga_O,BC2Y4,Nd2CuO4,Ba,Ga,O,2,4,8,4.67747,58.35,2.4962,BaGa2O4
BC2Y4_Nd2CuO4_Ba_Ga_S,BC2Y4,Nd2CuO4,Ba,Ga,S,2,4,8,3.88049,41.75,0.5538,BaGa2S4
BC2Y4_Nd2CuO4_Ba_Ga_Se,BC2Y4,Nd2CuO4,Ba,Ga,Se,2,4,8,3.61172,37.2,0.6661,BaGa2Se4
BC2Y4_Nd2CuO4_Ba_Ga_Te,BC2Y4,Nd2CuO4,Ba,Ga,Te,2,4,8,3.27376,20.3,0.8601,BaGa2Te4
