,Z,Period,Group,m,kai,EA,IE1,IE2,Rvdw,Rcov,MP,BP,Cp_g,Cp_mol,rho,E-fusion,E-vapor,ThermalConductivity,energy,energy_per_atom,volume
CaS,-0.74379259749,-0.256824773582,-0.533902690452,-0.850368506455,-0.614829678898,-0.31062269649,-0.593479752113,-0.846926218938,0.227901243334,0.372473740747,0.78586295313,0.286575530558,-0.0218157016335,-0.718124598886,-1.05759913191,-0.269447431597,-0.124488439164,1.44954814897,0.503611820145,-0.647658641926,-0.661388528199
CaSc2O4,-1.10747464993,-1.02796039632,-0.125119392106,-1.11771388199,0.728267072692,-0.493627051787,0.515755814734,0.101353487835,-0.741694014773,-0.914885639719,0.620758295413,0.18863547747,0.200519958055,-0.361964993419,-0.971595785902,-0.0785679440018,0.558187691628,-0.46303660514,-2.13621994213,-2.56314510313,0.164418377666
CaSe,-0.0277935567413,0.342947377434,-0.533902690452,-0.100682281661,-0.643319609993,-0.34548551846,-0.740436019164,-0.977198517862,0.428112653565,0.652832005826,0.988311244674,0.53935967196,-0.444487492577,-0.58140079474,-0.152664871349,0.177725104998,0.0689665959475,1.47467914022,0.520342202259,-0.211532317227,-0.589860970574
CaTe,0.688205484007,0.942719528451,-0.533902690452,0.676983275473,-1.07066857641,-0.375514419736,-0.92008390041,-1.13428608989,0.748450909934,1.03331822272,1.42681819381,0.857981889377,-0.574456337855,-0.562558272727,0.297111828285,1.6520541766,0.357133992,1.47907812796,0.534595313497,0.160016699234,-0.622127573405
CaY2O4,-0.698332340937,-0.685233452877,-0.125119392106,-0.716181912584,0.652293923107,-0.452123692299,0.468187665885,0.081398427415,-0.547202930554,-0.720351333344,0.599941835306,0.494488770571,0.032012931765,-0.332333312243,-0.702643156025,-0.398847222841,0.954445379088,-0.451684378713,-0.753588741573,-2.56035285214,-0.148736815067
Cd3As2,1.16553817784,1.06267395865,0.801456084161,1.11083879682,-0.432494119894,-1.18287683048,-0.0734192220078,-0.849853749026,0.199871645902,0.0921154756694,0.942454664709,-0.255408222177,-0.911501595439,-0.599678554513,2.56707564187,2.10044516698,-0.348597562561,0.811709116887,0.348632182901,1.12884173476,-0.0211322520501
Cd3N2,0.33816150853,0.103038517027,0.801456084161,0.331766278975,0.220874966539,-1.61255866989,0.844761174017,-0.31553280634,-0.280635738653,-0.692887666549,-0.632803563651,-0.938328150857,-0.290272358517,-0.415504453788,1.43367634134,-0.564556936674,-0.62936530352,0.242122281094,-0.952627473287,0.52337818801,1.0999712493
Cd3P2,0.592738945241,0.582856237841,0.801456084161,0.548694039649,-0.424896804935,-1.21388228139,0.061650328653,-0.79258410848,0.119787081809,-0.0841097195226,-0.242977002076,-0.537646516416,-0.527055935459,-0.633194626367,1.57851646643,-0.537263572043,-0.53825936169,0.244495123462,0.321865420628,0.98929095135,-0.095094015528
CdBr2,0.953390313912,0.742795478108,1.47973355697,0.897407120339,0.803335780032,1.16002850218,0.682173621787,-0.552729298426,-0.152500436105,-0.201593182971,-0.657415631356,-1.12133157301,-0.64326337359,2.85721400362,0.973412237539,-0.0667779531579,-1.05450297377,-0.488461375796,0.465158211907,1.17195599013,-0.241071433248
CdCl2,-0.0012750737533,-0.0569007232396,1.47973355697,-0.0501596015512,1.05657961198,1.36510392553,1.05425386846,-0.372990385886,-0.419448983093,-0.655506564552,-0.898484847414,-1.25150049123,-0.635982205788,-0.000209107571784,1.01308290117,-0.489175262931,-1.12602127719,-0.490601270478,0.536857387106,1.00697823074,-0.543636269805
CdF2,-0.425570801602,-0.856596924599,1.47973355697,-0.400833900205,2.09487932298,1.18769740851,2.49093063413,0.529278576091,-1.16690491459,-1.72353805055,-1.20057550766,-1.46751864321,-0.133581627405,-0.181275304572,0.372443886352,-0.966809143981,-1.23555412722,-0.490241783307,0.493817999807,0.259013254162,-0.676359304841
CdI2,1.90805570158,1.54249167947,1.47973355697,1.89933368793,0.423470032106,0.911089724391,0.242789813674,-0.751642194653,0.194532674975,0.305721772858,-0.348345978956,-0.945230580676,-1.02188409933,1.40183882469,1.74150380999,0.251644634207,-0.956906172969,-0.482274412394,-1.07170280216,1.40174467019,7.72038422734
CdIn2O4,-0.152809262267,-0.513869981166,1.23749160239,-0.149286378982,1.14340606864,-0.454565066387,0.607688562987,0.399025339096,-1.06775259715,-1.30395425247,-1.18136154978,-0.512904246874,-0.138366394817,-0.324837377055,0.452749849815,-1.04358333633,-0.158801645444,-0.351946960819,-0.237329196306,-0.637807931622,-0.21711557022
CdO,0.0517618922307,-0.256824773582,1.05581013647,0.0489671758795,0.857150094315,-0.686593390454,0.891198890043,0.173221701872,-0.592965538613,-1.10941994609,-0.85330098605,-1.12732054903,-0.246803786735,-0.370590453087,1.02162897499,-0.726123907662,-0.852186386223,-0.032517081113,0.533601282322,0.134104370398,-0.716294562079
CdS,0.369983688119,0.342947377434,1.05581013647,0.305897387704,0.0404387362742,-0.31062269649,0.103223845931,-0.54144911685,-0.0323735899663,-0.308396331585,-0.212920937033,-0.467391894814,-0.476160572519,-0.713452474899,1.18970176,-0.542381077911,-0.774080101182,-0.0290793431452,0.558468245794,0.782334477217,-0.530157138191
CdSe,1.08598272887,0.942719528451,1.05581013647,1.0555836125,0.0119488051797,-0.34548551846,-0.04373242112,-0.671721415773,0.167837820265,-0.028038066507,-0.0104726454889,-0.214607753412,-0.898832363463,-0.576728670753,2.09463602056,-0.0952085413164,-0.58062506607,-0.00394835189249,0.560358259815,0.831603218548,-0.623726453585
CdTe,1.80198176962,1.54249167947,1.05581013647,1.83324916963,-0.415400161237,-0.375514419736,-0.223380302366,-0.828808987803,0.488176076634,0.352448150385,0.428034303645,0.104014464005,-1.02880120874,-0.55788614874,2.54441272019,1.37912053029,-0.292457670018,0.000450635847966,0.579845804693,1.33960305182,-0.621111756754
Cs3As,1.76220404513,2.14226383048,-1.96464423468,1.78224684382,-1.85414168151,-0.899405833461,-1.98124990005,-0.311908996203,4.15204488386,3.15603080117,-0.184216955854,-0.359197043494,-0.925590655138,-0.101712284739,-0.370114971735,0.548744280456,-0.679960433364,-0.286193081433,0.0383482640196,1.3030428609,2.63518680262
Cs3Sb,2.1202035655,2.44214990599,-1.96464423468,2.15701001527,-1.91586986555,-0.820061175616,-2.12397006721,-0.371323276342,4.3622668646,3.35628670479,-0.36288298953,0.151334595304,-0.992213340532,-0.0865663882977,-0.21660216433,0.0613627691807,-0.46913948977,-0.46995724672,0.532169846943,1.33987799568,-0.213383938682
CsBeF3,-0.807436956668,-1.09650578501,0.0383939272391,-0.731819275924,1.41745207251,1.02623225048,1.75755738187,0.566424752795,-0.496864061702,-1.05334829308,-0.545924314438,-0.658504234872,0.481240181852,-0.28700564154,-1.05253479187,-0.993452666596,-0.300521141408,-0.0613696159942,0.358114450491,-0.226409488434,-0.60736750334
CsBr,1.40420452476,1.54249167947,-0.533902690452,1.39837040413,-0.45338673603,0.763282833697,-0.778611707872,-0.268380575858,2.57037474304,1.91444419868,-1.00856247105,-0.974043282845,-0.719715635518,2.32496837728,-0.586298987112,-0.559439430806,-1.0989352015,-0.895353551506,0.556032653254,0.718843636676,-0.55320020911
CsCaBr3,0.688205484007,0.822765098247,0.0383939272391,0.635286076192,0.0385394075345,1.00133023479,-0.180821949304,-0.561180650232,1.04075956887,0.917169798613,-0.398360811167,-0.760829286794,-0.492106330007,2.64244690349,-0.549392609084,-0.154669085692,-0.812439200056,-0.059767249234,0.416901825682,0.386576436344,-0.247585219463
CsCaF3,-0.552859519957,-0.616688064192,0.0383939272391,-0.533130842297,1.20092859619,1.02623225048,1.44705936182,0.41262643683,0.127795538218,-0.452580582197,-0.887204699843,-1.07239764997,-0.0333927584397,-0.0921934738907,-1.09026412515,-0.964697157431,-0.97538523816,-0.0613696159942,0.320489817907,-0.618727909247,-0.520500270478
CsCaI3,1.54740433291,1.54249167947,0.0383939272391,1.53701998701,-0.303339765599,0.777285334776,-0.576267376593,-0.740202256836,1.35308936883,1.37375325888,-0.120198124007,-0.602338393695,-0.832864983171,1.33260924245,0.141889806117,0.131911242938,-0.724602079334,-0.0541989821716,-0.11081303281,0.658225668519,1.85469756944
CsCdBr3,1.13371599825,1.06267395865,0.674279058007,1.09779243386,0.300646773604,1.00133023479,0.0978594899138,-0.438989809396,0.936649635551,0.64482176968,-0.797874367233,-1.06241625694,-0.673844278361,2.64431575309,0.34952774768,-0.263842544218,-1.07227586486,-0.65121824608,0.316167475234,0.959584230179,0.262206791065
CsCdCl3,0.274517149353,0.342947377434,0.674279058007,0.244982384154,0.528566222359,1.18589811581,0.432731711917,-0.277224788118,0.696395943274,0.236299726281,-1.01483666168,-1.17956828334,-0.667291227339,0.0726349530072,0.385231344948,-0.644000123012,-1.13664233794,-0.653144151293,0.45316542468,0.764703129279,-0.363928294544
CsCdF3,-0.107349005713,-0.376779203786,0.674279058007,-0.0706244846336,1.46303596226,1.02623225048,1.72574080104,0.534817277665,0.0236856048984,-0.72492861113,-1.28671825591,-1.37398462012,-0.215130706794,-0.090324624296,-0.19134376839,-1.07387061596,-1.23522190297,-0.65282061284,0.393546024237,0.14304153619,-0.524147955845
CsCl,0.688205484007,0.942719528451,-0.533902690452,0.687695362711,-0.263453862067,0.917089401211,-0.499551522869,-0.133576391459,2.3701633328,1.57400916251,-1.18936438309,-1.07166997151,-0.714254759666,0.181901043876,-0.556545989388,-0.876237413135,-1.15257392907,-0.896958472517,0.549847933478,0.55762083336,-0.582207265859
CsF,0.369983688119,0.342947377434,-0.533902690452,0.424689638722,0.515270921182,0.784034513441,0.577956051401,0.543125330027,1.80957138416,0.772985548002,-1.41593237828,-1.23368358549,-0.337454325878,0.0461013961231,-1.0370252505,-1.23446282392,-1.23472356659,-0.896688857139,0.534814948215,0.165742120315,-0.649895676402
CsHgBr3,1.64287087167,1.30258281906,0.674279058007,1.66185577382,0.380418580668,1.00133023479,0.237524295955,-0.394144279509,0.976691917597,0.58073988052,-1.07388813835,-1.23503210408,-0.713599454563,2.68462950863,0.967883666332,-0.459282530239,-1.26464034463,-1.15332722095,0.496250504048,1.21395855418,-0.269328837658
CsHgCl3,0.783672022774,0.582856237841,0.674279058007,0.809045724114,0.608338029424,1.18589811581,0.572396517958,-0.23237925823,0.73643822532,0.17221783712,-1.2908504328,-1.35218413048,-0.707046403541,0.112948708552,1.0035872636,-0.839440109033,-1.32900681771,-1.15525312616,0.348251490487,1.1268569626,0.243777284384
CsHgF3,0.401805867708,-0.136870343379,0.674279058007,0.493438855327,1.54280776932,1.02623225048,1.86540560708,0.579662807553,0.0637278869446,-0.78901050029,-1.56273202702,-1.54660046726,-0.254885882996,-0.0500108687514,0.427012150263,-1.26931060198,-1.42758638273,-1.15492958771,0.428037268062,0.502687581348,-0.503742302054
CsI,2.1202035655,2.14226383048,-0.533902690452,2.14981532981,-0.738286046974,0.576578750353,-1.10814956395,-0.417565248028,2.83064957634,2.29493041557,-0.776760231748,-0.841967538596,-1.00368117982,1.23343699307,-0.0102303077771,-0.320622490281,-1.0257376009,-0.890713328954,0.562111417618,0.877304402416,-0.449285676388
CsMgBr3,0.560916765652,0.582856237841,0.0383939272391,0.534432574251,0.156297789392,1.00133023479,-0.0325088726378,-0.484430937723,0.576269097136,0.64482176968,-0.545609876331,-0.92655490219,-0.327843184379,2.62067788623,-0.525590210905,-0.146870981512,-0.940792822617,-0.315192343841,0.254456652993,0.637849628854,0.20227397936
CsMgCl3,-0.298282083246,-0.136870343379,0.0383939272391,-0.318377475451,0.384217238147,1.18589811581,0.302363349366,-0.322665916444,0.336015404859,0.236299726281,-0.762572170782,-1.04370692859,-0.321290133357,0.0489970861545,-0.489886613636,-0.527028560306,-1.0051592957,-0.317118249055,0.204669550614,0.378280351485,0.0536159959474
CsMgF3,-0.680148238312,-0.856596924599,0.0383939272391,-0.633984344238,1.31868697805,1.02623225048,1.59537243849,0.489376149339,-0.336694933517,-0.72492861113,-1.03445376501,-1.23812326537,0.130870387188,-0.113962491149,-1.06646172697,-0.956899053251,-1.10373886072,-0.316794710601,0.342931462395,-0.384725078618,-0.575609575796
CsMgI3,1.42011561455,1.30258281906,0.0383939272391,1.43616648507,-0.185581383742,0.777285334776,-0.427954299927,-0.663452544327,0.888598897096,1.10140522995,-0.267447189171,-0.768064009091,-0.668601837543,1.31084022519,0.165692204297,0.139709347118,-0.852955701895,-0.309624076779,0.308580859746,0.920030767415,0.435370579494
CsSrBr3,0.974605100307,1.06267395865,0.0383939272391,0.939317495486,0.0195461201382,1.00133023479,-0.221290186735,-0.581598880714,1.18491178424,1.04533357693,-0.448210755103,-0.805835989453,-0.641079023249,2.66012909581,-0.412655428055,-0.180987687301,-0.896696454319,-1.00029920871,0.419332716142,0.411923743175,-0.168405775753
CsSrCl3,0.115406251408,0.342947377434,0.0383939272391,0.0865074457839,0.247465568894,1.18589811581,0.113582035269,-0.419833859435,0.944658091961,0.636811533535,-0.665173049554,-0.922988015848,-0.634525972227,0.0884482957323,-0.376951830786,-0.561145266095,-0.961062927399,-1.00222511392,0.16251717866,0.158515388176,0.254037137286
